OID_,_id1,OBJECTI2,SEGMENT3,INSTALL4,UPGRADE5,PRE_AMA6,STREET_7,FROM_ST8,TO_STRE9,ROADCLA10,CNPCLAS11,SURFACE12,OWNER13,DIR_LOW14,INFRA_L15,SEPA_LO16,SEPB_LO17,ORIG_LO18,DIR_HIG19,INFRA_H20,SEPA_HI21,SEPB_HI22,ORIG_HI23,BYLAWED24,EDITOR25,LAST_ED26,UPGRADE27,CONVERT28,starx,stary,ex,ey,cex,cey,len,lennorm,OBJECTID,Join_Count,TARGET_FID,_id1_1,CENTREL2,LINEAR_26,LINEAR_27,LINEAR_28,LINEAR_29,LINEAR_30,FROM_IN31,TO_INTE32,ONEWAY_33,ONEWAY_34,FEATURE35,FEATURE36,JURISDI37,CENTREL38,OBJECTI39,MI_PRIN40,lenkm,Shape_Length
635,636,636,636,2009,0, ,Renforth Dr,Rathburn Rd,West Wareside Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.5788473,43.64973134,-79.57950079,43.65140882,-79.57924974,43.650548,194.3168305,0,73,7,635,636,911281,Renforth,Dr,None,None,Renforth Dr,13467212,13466944,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,4266,4266,0.194315872,0.001809888
636,637,637,637,2009,2021, ,Crescent Town Rd,Dawes Rd,Victoria Park Ave, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.29731355,43.69652454,-79.29048449,43.69655054,-79.29407635,43.6952996,678.1857728,0,74,10,636,637,30072825,Crescent Town,Rd,None,None,Crescent Town Rd,13458549,13458684,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,220796,220796,0.264775354,0.007762996
637,638,638,638,2007,0, ,Brimorton Dr,Hiscock Blvd,Scarborough Golf Club Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2009,-79.21975215,43.76988416,-79.21868422,43.76981125,-79.21922334,43.76974325,90.05429899,0,75,6,637,638,108090,Brimorton,Dr,None,None,Brimorton Dr,13447075,13447083,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,36584,36584,0.090054211,0.00109505
642,643,643,643,2007,0, ,The Queensway,Windermere Ave,Claude Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.46991465,43.63721059,-79.45229035,43.63964919,-79.46126942,43.63924082,1466.607658,0,76,19,642,643,1146991,The Queensway,None,None,None,The Queensway,13468327,13468322,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,19427,19427,0.084501988,0.017919393
735,736,736,736,2009,0, ,The Queensway,The Queensway Split,The Queensway Split, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.47554089,43.6334833,-79.48151692,43.63097105,-79.47843643,43.63193519,566.9624475,0,77,9,735,736,30005845,The Queensway,None,None,None,The Queensway,30005843,13469231,1,Follow-Digitization,201200,Major Arterial,CITY OF TORONTO,None,54949,54949,0.45730795,0.006563977
736,737,737,737,2009,0, ,The Queensway,The Queensway Split,Windermere Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.47554089,43.6334833,-79.46991465,43.63721059,-79.47310954,43.63583674,632.8235423,0,78,22,736,737,30006423,The Queensway,None,None,None,The Queensway,13468786,30006422,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,53195,53195,0.138716942,0.00691289
737,738,738,738,2009,0, ,The Queensway,The Queensway Split,The Queensway Split, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.48151692,43.63097105,-79.47554089,43.6334833,-79.47840902,43.63151398,596.0359212,0,79,11,737,738,30071623,The Queensway,None,None,None,The Queensway,30071621,13469231,-1,Against-Digitization,201200,Major Arterial,CITY OF TORONTO,None,180953,180953,0.328493274,0.006813658
741,742,742,742,2010,0, ,Bay St,Yorkville Ave,Cumberland St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.38984423,43.6705625,-79.39019979,43.67135687,-79.39002201,43.67095969,92.80110752,0,80,7,741,742,7975169,Bay,St,None,None,Bay St,13463382,13463253,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,13658,13658,0.092800797,0.000870317
742,743,743,743,2010,2015, ,York Mills Rd,Scarsdale Rd,Lesmill Rd, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, ,0,-79.35749335,43.75349324,-79.35203523,43.75469866,-79.35476439,43.75409642,459.5399056,0,81,7,742,743,13339730,York Mills,Rd,None,None,York Mills Rd,13449662,13449541,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,30890,30890,0.296608924,0.005589719
754,755,755,755,2005,0, ,Sumach St,King St E,Richmond St E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2014,-79.3584043,43.6550065,-79.35841585,43.65558216,-79.35838016,43.65529395,64.24792383,0,82,7,754,755,2893418,Sumach,St,None,None,Sumach St,13465878,13465784,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,73809,73809,0.064247924,0.000580571
